NUMERO_REGISTRO_PRODUTO,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,ND,MSIS,QuantileLoss_median,Coverage_median,Modelo,Tipo,RMSE,NRMSE,wQuantileLoss_median,mean_absolute_QuantileLoss,mean_wQuantileLoss,MAE_Coverage,OWA,Avaliacao
109740249,177.96296296296302,39.66666666666667,81.0,27.0,12.75,1.0370370370370372,0.5418976734766209,0.4461538461538462,0.4897119341563786,41.48148148148149,39.66666666666667,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109740275,605.7037037037038,73.33333333333334,90.0,30.0,16.875,1.448559670781893,5.152640054241885,0.9633389664827612,0.8148148148148149,57.94238683127573,73.33333333333334,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109740277,221.0740740740741,43.0,57.0,19.0,26.625,0.5383411580594679,1.3223223223223224,0.7871262326068639,0.7543859649122807,21.533646322378715,43.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109740299,248.88888888888883,34.66666666666666,71.0,23.66666666666667,13.5,0.8559670781893002,1.166993738902906,0.7697480700378366,0.488262910798122,34.23868312757201,34.66666666666666,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
109740304,53.444444444444464,16.333333333333336,53.0,17.666666666666668,26.125,0.2083997873471558,0.27277777777777784,0.3371064004939289,0.3081761006289309,8.335991493886231,16.333333333333336,0.0,MediaMovel,Por Item,,,,,,,,2022-09-16
109740335,5.148148148148146,5.666666666666666,18.0,6.0,15.125,0.12488521579430667,0.31798941798941804,0.2610788738448313,0.3148148148148148,4.995408631772269,5.666666666666666,1.0,MediaMovel,Por Item,,,,,,,,2022-09-16
109740344,97.77777777777771,28.0,89.0,29.66666666666667,18.5,0.5045045045045045,0.31215276203716297,0.3704711790234374,0.31460674157303364,20.18018018018018,28.0,0.0,MediaMovel,Por Item,,,,,,,,2022-09-16
109860011,71.74074074074076,21.000000000000004,52.0,17.333333333333332,29.5,0.2372881355932204,1.5395622895622896,0.5577133845850581,0.4038461538461539,9.491525423728817,21.000000000000004,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109860019,29.370370370370388,10.333333333333336,21.0,7.0,10.125,0.34019204389574764,0.8111111111111113,0.3907203907203908,0.4920634920634922,13.607681755829908,10.333333333333336,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109860025,238.66666666666674,40.66666666666667,62.0,20.666666666666668,18.125,0.7478927203065135,0.2819865319865321,0.8904571174264099,0.6559139784946237,29.915708812260537,40.66666666666667,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
109860027,611.0740740740742,73.0,75.0,25.0,12.0,2.0277777777777777,2.1216049382716053,1.0107464396970611,0.9733333333333334,81.11111111111113,73.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109860032,71.8888888888889,15.66666666666666,46.0,15.333333333333336,19.25,0.2712842712842712,1.2403846153846154,0.44980323068378986,0.3405797101449274,10.851370851370847,15.66666666666666,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
109930003,440.9259259259259,55.66666666666667,95.0,31.66666666666667,19.0,0.9766081871345029,1.0601180891035964,0.6433617029378725,0.5859649122807018,39.06432748538012,55.66666666666667,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110130014,91.44444444444444,24.33333333333333,25.0,8.333333333333334,10.5,0.7724867724867723,4.924242424242425,1.081192189105858,0.9733333333333332,30.89947089947089,24.33333333333333,1.0,MediaMovel,Por Item,,,,,,,,2022-09-16
110130041,62.851851851851826,22.33333333333333,43.0,14.333333333333336,16.25,0.4581196581196581,2.7762091503267974,0.7797020312323767,0.5193798449612402,18.324786324786324,22.33333333333333,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110130049,290.7407407407407,40.66666666666666,45.0,15.0,27.125,0.4997439836149514,4.565955117679255,0.7263536764020168,0.9037037037037036,19.98975934459805,40.66666666666666,1.0,MediaMovel,Por Item,,,,,,,,2022-09-16
110130233,92.33333333333336,25.666666666666664,67.0,22.33333333333333,26.25,0.3259259259259259,0.4055007388340721,0.3894052312905014,0.38308457711442784,13.037037037037035,25.666666666666664,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110130246,536.4814814814815,59.66666666666667,72.0,24.0,25.5,0.7799564270152506,11.88509485094851,0.9011959327748804,0.8287037037037037,31.19825708061003,59.66666666666667,0.3333333333333333,MediaMovel,Por Item,,,,,,,,2022-09-16
110130253,89.81481481481481,23.66666666666667,13.0,4.333333333333333,22.125,0.3565599497802888,2.0222222222222226,0.8410973084886127,1.8205128205128207,14.26239799121155,23.66666666666667,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
110130263,66.2962962962963,24.0,22.0,7.333333333333332,18.375,0.4353741496598639,3.4673202614379086,1.088188876964838,1.0909090909090908,17.41496598639456,24.0,0.6666666666666666,MediaMovel,Por Item,,,,,,,,2022-09-16
